model,type,mean,median,min,max
base,member,39.202678642822,35.94648361206055,1.8582383394241333,191.31211853027344
base,non_member,39.42263897309763,36.441314697265625,1.3180100917816162,186.15179443359375
epoch1,member,28.701236616535688,25.242158889770508,2.1294407844543457,112.90676879882812
epoch1,non_member,41.338985289142784,39.01953887939453,2.3883564472198486,144.40997314453125
epoch10,member,3.6347084666074294,3.3337626457214355,1.7127254009246826,53.96206283569336
epoch10,non_member,319.55837213485796,181.839599609375,1.9994479417800903,5191.0302734375
epoch3,member,11.257916271313558,10.11938762664795,1.9858263731002808,51.3904914855957
epoch3,non_member,52.188354929934754,45.79700469970703,2.227280378341675,245.64964294433594
epoch5,member,5.581490327180998,4.970476150512695,1.8746423721313477,56.11166763305664
epoch5,non_member,101.07463557848494,75.8020248413086,2.1056599617004395,1062.893310546875
